session_id;seconds;cell_id;snr;extra
46008;55872;-9;-109;"LTE;16"
46008;55872;-25;-103;"LTE;87"
46008;55872;-32;-101;"GSM;280"
46008;55872;-31;-93;"GSM;288"
46008;55872;-30;-113;"GSM;136"
46008;55872;-29;-103;"GSM;120"
46008;55872;-28;-95;"GSM;264"
46008;55872;-27;-109;"LTE;16"
46008;55872;-26;-107;"LTE;0"
46008;55872;-10;-95;"GSM;264"
46008;55872;-11;-103;"GSM;120"
46008;55872;-12;-113;"GSM;136"
46008;55872;-13;-93;"GSM;288"
46008;55872;-14;-101;"GSM;280"
46008;55872;-15;9;"GSM;264"
46008;55872;-16;5;"GSM;120"
46008;55872;-17;0;"GSM;136"
46008;55872;-18;10;"GSM;288"
46008;55872;-19;6;"GSM;280"
46008;55872;-20;-114;"LTE;174"
46008;55872;-21;-115;"LTE;3"
46008;55872;-23;-102;"LTE;3"
46008;55872;-24;-106;"LTE;174"
46008;55872;133124;-113;"LTE;87"
46008;55872;-2;-114;"LTE;174"
46008;55872;-3;-115;"LTE;3"
46008;55872;-5;-102;"LTE;3"
46008;55872;-6;-106;"LTE;174"
46008;55872;-7;-103;"LTE;87"
46008;55872;-8;-107;"LTE;0"
46008;55899;1183236;-111;"LTE;381"
46008;55899;-44;-93;"GSM;264"
46008;55899;-43;-87;"GSM;288"
46008;55899;-42;-110;"LTE;381"
46008;55899;-41;-110;"LTE;3"
46008;55899;-40;-108;"LTE;174"
46008;55899;-39;-107;"LTE;87"
46008;55899;-37;-117;"LTE;174"
46008;55899;-33;-118;"LTE;19"
46008;55958;-57;-91;"GSM;241"
46008;55958;1203973;-106;"LTE;161"
46008;55958;-45;-118;"LTE;113"
46008;55958;-47;-115;"LTE;116"
46008;55958;-49;-97;"LTE;160"
46008;55958;-50;-104;"LTE;87"
46008;55958;-51;-101;"LTE;37"
46008;55958;-52;-103;"LTE;108"
46008;55958;-53;-103;"GSM;288"
46008;55958;-54;-113;"GSM;296"
46008;55958;-55;-113;"GSM;439"
46008;55958;-56;-113;"GSM;431"
46008;56047;-66;-97;"LTE;170"
46008;56047;112389;-95;"LTE;113"
46008;56047;-58;-104;"LTE;161"
46008;56047;-59;-98;"LTE;37"
46008;56047;-60;-102;"LTE;169"
46008;56047;-61;-104;"LTE;105"
46008;56047;-62;-90;"LTE;113"
46008;56047;-63;-97;"LTE;37"
46008;56047;-64;-97;"LTE;160"
46008;56047;-65;-97;"LTE;105"
46008;56047;-67;-98;"LTE;29"
